Cues,Targets,FSG,BSG,Symm
REASON,FACT,0.010,0,0.010
REASON,FOR,0.010,0,0.010
REASON,INTELLECT,0.010,0,0.010
REASON,KNOWLEDGE,0.010,0,0.010
REASON,PLAN,0.010,0,0.010
REASON,SEASON,0.010,0,0.010
REASON,TALK,0.010,0,0.010
REASON,TRUTH,0.010,0,0.010
REGRET,BAD,0.010,0,0.010
REGRET,DEATH,0.010,0,0.010
REGRET,MISTAKE,0.010,0,0.010
REGRET,PITY,0.010,0,0.010
REGRET,PRIDE,0.010,0,0.010
REPENTANCE,ADMIT,0.010,0,0.010
REPENTANCE,PUNISHMENT,0.010,0,0.010
REPENTANCE,REMORSE,0.010,0,0.010
REPORT,ANSWER,0.010,0,0.010
REPORT,FACT,0.010,0,0.010
REPORT,FINAL,0.010,0,0.010
REPORT,PRESENTATION,0.010,0,0.010
REPORT,PROJECT,0.010,0,0.010
REPORT,SPEAK,0.010,0,0.010
REPORT,TYPE,0.010,0,0.010
RESISTANCE,ARMY,0.010,0,0.010
RESISTANCE,ARREST,0.010,0,0.010
RESISTANCE,CHANGE,0.010,0,0.010
RESISTANCE,HELP,0.010,0,0.010
RESISTANCE,HOLD,0.010,0,0.010
RESISTANCE,PUSH,0.010,0,0.010
RESISTANCE,WILL,0.010,0,0.010
RESPECT,AGE,0.010,0,0.010
RESPECT,CARE,0.010,0,0.010
RESPECT,FEELING,0.010,0,0.010
RESPECT,FRIEND,0.010,0,0.010
RESPECT,LAW,0.010,0,0.010
RESPECT,LOYAL,0.010,0,0.010
REST,CALM,0.010,0,0.010
REST,GO,0.010,0,0.010
REST,HOME,0.010,0,0.010
REST,QUIET,0.010,0,0.010
RHYTHM,MOVEMENT,0.010,0,0.010
RHYTHM,POEM,0.010,0,0.010
RHYTHM,SECTION,0.010,0,0.010
ROAD,BRICK,0.010,0,0.010
ROAD,CONSTRUCTION,0.010,0,0.010
ROAD,HOG,0.010,0,0.010
ROUTINE,ABNORMAL,0.010,0,0.010
ROUTINE,AVERAGE,0.010,0,0.010
ROUTINE,EXERCISE,0.010,0,0.010
ROUTINE,GYMNASTICS,0.010,0,0.010
ROUTINE,JOB,0.010,0,0.010
ROUTINE,LIFE,0.010,0,0.010
ROUTINE,METHOD,0.010,0,0.010
ROUTINE,ORDER,0.010,0,0.010
ROUTINE,SPONTANEOUS,0.010,0,0.010
ROUTINE,TASK,0.010,0,0.010
ROUTINE,WORKOUT,0.010,0,0.010
SACK,CLOTH,0.010,0,0.010
SACK,GROCERIES,0.010,0,0.010
SACK,HIT,0.010,0,0.010
SAILOR,BAY,0.010,0,0.010
SAILOR,CAP,0.010,0,0.010
SAILOR,SOLDIER,0.010,0,0.010
SAILOR,WHITE,0.010,0,0.010
SCHOOL,DAY,0.010,0,0.010
SCHOOL,FRIEND,0.010,0,0.010
SCHOOL,TIME,0.010,0,0.010
SCHOOL,YARD,0.010,0,0.010
SHAME,ABUSE,0.010,0,0.010
SHAME,HURT,0.010,0,0.010
SHOP,DRESS,0.010,0,0.010
SHOP,KEEPER,0.010,0,0.010
SHOP,LIFT,0.010,0,0.010
SHOP,SELL,0.010,0,0.010
SHOP,STOP,0.010,0,0.010
SHOP,WORK,0.010,0,0.010
SHOULDER,BAG,0.010,0,0.010
SHOULDER,BROAD,0.010,0,0.010
SHOULDER,COLD,0.010,0,0.010
SHOULDER,COMFORT,0.010,0,0.010
SHOULDER,MUSCLE,0.010,0,0.010
SHOULDER,STRONG,0.010,0,0.010
SPACE,BLACK,0.010,0,0.010
SPACE,MOUNTAIN,0.010,0,0.010
SPACE,PLACE,0.010,0,0.010
STALK,ATTACK,0.010,0,0.010
STALK,KILL,0.010,0,0.010
STALK,KILLER,0.010,0,0.010
STALK,KNIFE,0.010,0,0.010
STALK,MURDER,0.010,0,0.010
STALK,POUNCE,0.010,0,0.010
STALK,STAMP,0.010,0,0.010
STALK,STICK,0.010,0,0.010
STALK,TALK,0.010,0,0.010
STALK,TALL,0.010,0,0.010
STONE,BONE,0.010,0,0.010
STONE,FACE,0.010,0,0.010
STONE,ROLL,0.010,0,0.010
STONE,WALL,0.010,0,0.010
STRAWBERRY,BLONDE,0.010,0,0.010
STRAWBERRY,GOOD,0.010,0,0.010
STRAWBERRY,SHAKE,0.010,0,0.010
STUDENT,ADOLESCENT,0.010,0,0.010
STUDENT,BODY,0.010,0,0.010
STUDENT,GIRL,0.010,0,0.010
STUDENT,PERSON,0.010,0,0.010
STUDENT,STRESS,0.010,0,0.010
STUDENT,TEST,0.010,0,0.010
STUDENT,TOUGH,0.010,0,0.010
STUFF,ANYTHING,0.010,0,0.010
STUFF,BEAR,0.010,0,0.010
STUFF,EAT,0.010,0,0.010
STUFF,GARBAGE,0.010,0,0.010
STUFF,PUSH,0.010,0,0.010
STYLE,DRESS,0.010,0,0.010
STYLE,INDIVIDUAL,0.010,0,0.010
STYLE,LOOKS,0.010,0,0.010
SUPPORT,ASSISTANT,0.010,0,0.010
SUPPORT,GIVE,0.010,0,0.010
SUPPORT,GOOD,0.010,0,0.010
SUPPORT,HOSE,0.010,0,0.010
SUPPORT,JOCK,0.010,0,0.010
SUPPORT,LIFE,0.010,0,0.010
SUPPORT,LOVE,0.010,0,0.010
SUPPORT,SELF,0.010,0,0.010
TABOO,HEX,0.01,0,0.010
TABOO,IMMORAL,0.01,0,0.010
TABOO,INDIAN,0.01,0,0.010
TABOO,JINX,0.01,0,0.010
TABOO,NORM,0.01,0,0.010
TABOO,OLD,0.01,0,0.010
TABOO,RESTRICTION,0.01,0,0.010
TABOO,SACRED,0.01,0,0.010
TABOO,SIGN,0.01,0,0.010
TABOO,SPELL,0.01,0,0.010
TABOO,TATTOO,0.01,0,0.010
TABOO,WEIRD,0.01,0,0.010
THEME,BOOK,0.01,0,0.010
THEME,ENGLISH,0.01,0,0.010
THEME,GIST,0.01,0,0.010
THEME,MESSAGE,0.01,0,0.010
THEME,MOVIE,0.01,0,0.010
THEME,NAME,0.01,0,0.010
THRESHOLD,BEGINNING,0.01,0,0.010
THRESHOLD,CROSS,0.01,0,0.010
THRESHOLD,DIFFERENCE,0.01,0,0.010
THRESHOLD,HOUSE,0.01,0,0.010
THRESHOLD,LIMIT,0.01,0,0.010
THRESHOLD,OPENING,0.01,0,0.010
THRESHOLD,OVER,0.01,0,0.010
THRESHOLD,PEAK,0.01,0,0.010
THRESHOLD,POINT,0.01,0,0.010
THRESHOLD,TOLERANCE,0.01,0,0.010
TOBACCO,HOT,0.01,0,0.010
TOBACCO,LEAF,0.01,0,0.010
TOMATO,HOT,0.01,0,0.010
TOMATO,ONION,0.01,0,0.010
TOMATO,PASTA,0.01,0,0.010
TRAUMA,BLOW,0.01,0,0.010
TRAUMA,COMA,0.01,0,0.010
TRAUMA,CONDITION,0.01,0,0.010
TRAUMA,HEART,0.01,0,0.010
TRAUMA,INJURY,0.01,0,0.010
TRAUMA,PROBLEM,0.01,0,0.010
TRAUMA,SEVERE,0.01,0,0.010
TRAUMA,SICK,0.01,0,0.010
TRAUMA,WAR,0.01,0,0.010
TRUTH,GOD,0.01,0,0.010
TRUTH,LIGHT,0.01,0,0.010
TRUTH,MYTH,0.01,0,0.010
TRUTH,VERACITY,0.01,0,0.010
VEGETABLES,DINNER,0.01,0,0.010
VEGETABLES,SALT,0.01,0,0.010
VEGETABLES,STEAM,0.01,0,0.010
VEGETABLES,VEGETARIAN,0.01,0,0.010
VEGETABLES,VITAMIN,0.01,0,0.010
VIRTUE,ACTION,0.01,0,0.010
VIRTUE,ATTRIBUTE,0.01,0,0.010
VIRTUE,INTELLIGENCE,0.01,0,0.010
VIRTUE,LOVE,0.01,0,0.010
VIRTUE,PURE,0.01,0,0.010
VIRTUE,QUALITY,0.01,0,0.010
WAR,FEAR,0.01,0,0.010
WAR,HELL,0.01,0,0.010
WAR,LOVE,0.01,0,0.010
WAR,NO,0.01,0,0.010
WAR,PAIN,0.01,0,0.010
WAR,VIOLENT,0.01,0,0.010
WEAKNESS,CHOCOLATE,0.01,0,0.010
WEAKNESS,DEATH,0.01,0,0.010
WEAKNESS,DEFICIENT,0.01,0,0.010
WEAKNESS,FEAR,0.01,0,0.010
WEAKNESS,HEEL,0.01,0,0.010
WEAKNESS,PATHETIC,0.01,0,0.010
WEAKNESS,THIN,0.01,0,0.010
WEAKNESS,TIMID,0.01,0,0.010
WELFARE,AID,0.01,0,0.010
WELFARE,CARE,0.01,0,0.010
WELFARE,HEALTH,0.01,0,0.010
WELFARE,RECIPIENT,0.01,0,0.010
WRINKLE,BEND,0.01,0,0.010
WRINKLE,BLEMISH,0.01,0,0.010
