CUE,TARGET, QSS, TSS
ADJECTIVE,SUBJECTIVE,11,8
ADJECTIVE,WORD,11,20
ADJOURN,LEAVE,16,18
ADJOURN,END,16,8
ADJOURN,COURT,16,17
ADJOURN,MEETING,16,13
ADJOURN,DISMISS,16,14
ADJOURN,STOP,16,8
ADJOURN,FINISH,16,8
ADJOURN,CLOSE,16,9
ADJOURN,OVER,16,11
ADJOURN,QUIT,16,17
ADJOURN,RECESS,16, NULL
ADJOURN,GO,16,14
ADJOURN,JOIN,16,20
ADJOURN,JUDGE,16,17
ADJOURN,NEXT,16, NULL
ADJOURN,START,16,10
ADJUSTMENT,CHANGE,14,15
ADJUSTMENT,FIX,14,9
ADJUSTMENT,MOVE,14,27
ADJUSTMENT,ALTER,14,4
ADJUSTMENT,BELT,14,11
ADJUSTMENT,BRA,14,15
ADJUSTMENT,CHIROPRACTOR,14, NULL
ADJUSTMENT,CORRECTION,14, NULL
ADJUSTMENT,ARRANGE,14, NULL
ADJUSTMENT,CAR,14,25
ADJUSTMENT,COMPROMISE,14, NULL
ADJUSTMENT,KNOB,14,6
ADJUSTMENT,LOOSE,14,7
ADJUSTMENT,TELEVISION,14,19
ADMIRE,LIKE,17,16
ADMIRE,RESPECT,17,26
ADMIRE,LOVE,17,18
ADMIRE,ADORE,17,7
ADMIRE,BEAUTY,17,17
ADMIRE,ENVY,17,10
ADMIRE,COMPLIMENT,17,14
ADMIRE,WANT,17,9
ADMIRE,WORSHIP,17,14
ADMIRE,ADMONISH,17, NULL
ADMIRE,PRAISE,17,21
ADMIRE,BEAUTIFUL,17,8
ADMIRE,CUTE,17,18
ADMIRE,DISLIKE,17,6
ADMIRE,FOND,17,15
ADMIRE,IDOL,17,15
ADMIRE,IDOLIZE,17, NULL
ADMISSION,TICKET,16,19
ADMISSION,ENTER,16,8
ADMISSION,IN,16,2
ADMISSION,SCHOOL,16,22
ADMISSION,ACCEPT,16,18
ADMISSION,COLLEGE,16,15
ADMISSION,MONEY,16,19
ADMISSION,GUILT,16,19
ADMISSION,MOVIE,16,21
ADMISSION,PAY,16,13
ADMISSION,ALLOW,16,16
ADMISSION,DENY,16,18
ADMISSION,FEE,16,10
ADMISSION,OPEN,16,5
ADMISSION,PRICE,16,12
ADMISSION,TEST,16,17
ADMIT,CONFESS,18,15
