"cues","BOI","Concrete","SUBTLEX","AoA","n"
"bondsman",4.416666667,3.79,1.4314,13.83,14
"bone",5.259259259,4.9,3.1239,5.53,19
"bong",5.6,4.27,2.1553,14.16,13
"bonnet",6.043478261,4.93,1.9823,6.83,19
"book",6.47826087,4.9,3.9555,3.68,24
"bookbinder",4.75,4.93,0.6021,NA,17
"bookcase",5.56,4.93,1.6902,5.63,17
"bookend",5.291666667,4.32,0.4771,8.88,16
"bookkeeper",4.458333333,4.64,1.8195,9.15,17
"booklet",5.5,4.72,1.4624,7.32,15
"bookmark",5.857142857,4.9,1.3424,8.26,14
"bookmarker",4.576923077,4.62,0.301,6.75,17
"bookseller",5,4.43,0.7782,7.37,15
"bookshelf",5.727272727,4.93,1.2553,7.68,13
"boomerang",5.666666667,4.7,1.6812,9.79,13
"boot",6.555555556,4.96,2.7551,3.89,14
"booth",4.92,4.42,3.017,7.16,18
"bootlace",5.64,4.54,0.301,10.18,15
"boots",6.434782609,5,2.9903,4.86,14
"booze",5.84,4.48,2.7474,10.42,13
"bosom",5.52,4.63,2.2041,12.5,13
"bottle",5.464285714,4.91,3.4131,3.56,14
"boulder",4.958333333,4.67,2.0294,7.92,16
"bouquet",4.909090909,4.74,2.2175,8.72,21
"bourbon",5.173913043,4.93,2.5051,11.05,14
"boutique",4.692307692,4.27,1.7482,9.78,13
"bowl",6.16,4.87,3.0394,4.26,15
"bowling",5,4.56,2.7372,7,18
"box",6.291666667,4.9,3.6607,4.3,20
"boxer",4.608695652,4.63,2.2945,7.95,17
"boy",4.962962963,4.76,4.4317,3.67,11
"boyfriend",6.310344828,4.59,3.5664,6.89,21
"bra",6.52173913,4.54,2.7466,8.21,13
"brace",5.04,3.96,2.5051,7.89,13
"bracelet",6.5,4.96,2.601,5.68,20
"braid",5.64,4.38,1.6902,7.22,18
"bran",4.407407407,4.48,1.8325,9.95,8
"branch",4.821428571,4.9,2.7118,5.11,17
"brandy",5.64,4.81,2.7543,12.1,15
"brass",4.4,4.7,2.7917,9.05,19
"brassiere",5.666666667,4.64,1.4472,11,10
"bratwurst",5.434782609,4.82,1.3979,9.68,12
"bread",6.230769231,4.92,3.1602,3.58,18
"breadbasket",5.222222222,4,1.0414,8.61,20
"breadboard",5.44,4.7,0.301,10.75,14
"breakfast",6.173913043,4.43,3.5292,3.47,18
"breast",5.4,4.89,2.6609,6.6,16
"breastbone",5.318181818,4.33,1,10.75,19
"breastplate",5.136363636,4.67,1.1139,12.39,14
"breasts",6.173913043,5,2.8028,8.03,17
"breeches",4.666666667,4.07,1.301,12.1,10
"brick",5.64,4.83,2.716,6.43,20
"bricklayer",4.84,4.42,1.0414,9.5,12
"brickwork",4.777777778,4.48,0.4771,11.18,20
"bridegroom",4.384615385,4.39,1.8692,11.33,18
