"Cue","Target","AFS","AFSS","FSG","COS"
"album","memory",0.033898305,30,NA,NA
"album","music",0.101694915,30,0.1,NA
"album","photgraph",0.016949153,30,NA,NA
"album","play",0.033898305,30,NA,NA
"album","produce",0.033898305,30,NA,NA
"album","record",0.033898305,30,0.333,NA
"album","reflection",0.016949153,30,NA,NA
"album","sell",0.06779661,30,NA,NA
"album","sing",0.016949153,30,NA,0.304670936
"album","store",0.016949153,30,NA,NA
"album","suggest",0.016949153,30,NA,NA
"album","tear",0.016949153,30,NA,NA
"album","throw away",0.016949153,30,NA,NA
"album","write",0.050847458,30,NA,NA
"alcohol","carry",0.035714286,22,NA,NA
"alcohol","celebrate",0.035714286,22,NA,NA
"alcohol","cook",0.035714286,22,NA,NA
"alcohol","drink",0.214285714,22,0.151,NA
"alcohol","drive",0.035714286,22,NA,NA
"alcohol","ferment",0.071428571,22,NA,NA
"alcohol","fix",0.035714286,22,NA,NA
"alcohol","forget",0.035714286,22,NA,NA
"alcohol","fun",0.035714286,22,0.041,NA
"alcohol","gift",0.035714286,22,NA,NA
"alcohol","give",0.035714286,22,NA,NA
"alcohol","hide",0.035714286,22,NA,NA
"alcohol","ingest",0.035714286,22,NA,NA
"alcohol","intoxicate",0.035714286,22,0.014,NA
"alcohol","mix",0.035714286,22,NA,NA
"alcohol","party",0.035714286,22,0.034,NA
"alcohol","put in",0.035714286,22,NA,NA
"alcohol","sanitize",0.035714286,22,NA,NA
"alcohol","sip",0.035714286,22,NA,0.612553163
"alcohol","smell",0.035714286,22,NA,NA
"alcohol","spit",0.035714286,22,NA,NA
"alcohol","throw",0.035714286,22,NA,NA
"ale","celebrate",0.047619048,11,NA,NA
"ale","disinfect",0.047619048,11,NA,NA
"ale","drink",0.428571429,11,0.06,NA
"ale","gift",0.047619048,11,NA,NA
"ale","intoxicate",0.095238095,11,NA,NA
"ale","make",0.047619048,11,NA,NA
"ale","marinate",0.047619048,11,NA,NA
"ale","mix",0.047619048,11,NA,NA
"ale","pale",0.047619048,11,NA,NA
"ale","pour",0.047619048,11,NA,NA
"ale","throw",0.095238095,11,NA,NA
"alfalfa","blend",0.028571429,22,NA,NA
"alfalfa","consume",0.028571429,22,NA,NA
"alfalfa","cook",0.057142857,22,NA,NA
"alfalfa","cut",0.028571429,22,NA,NA
"alfalfa","decorate",0.028571429,22,NA,NA
"alfalfa","display",0.028571429,22,NA,NA
"alfalfa","eat",0.142857143,22,NA,NA
"alfalfa","feed",0.085714286,22,NA,NA
"alfalfa","food",0.028571429,22,NA,NA
"alfalfa","frolic",0.028571429,22,NA,NA
"alfalfa","garden",0.057142857,22,NA,NA
"alfalfa","garnish",0.028571429,22,NA,NA
"alfalfa","give",0.057142857,22,NA,NA
"alfalfa","grow",0.142857143,22,NA,NA
"alfalfa","make",0.028571429,22,NA,NA
"alfalfa","mow",0.028571429,22,NA,NA
"alfalfa","plant",0.028571429,22,NA,NA
"alfalfa","produce",0.028571429,22,NA,NA
"alfalfa","season",0.028571429,22,NA,NA
"alfalfa","sit",0.028571429,22,NA,NA
"alfalfa","spraie",0.028571429,22,NA,NA
"alfalfa","watch",0.028571429,22,NA,NA
"algae","analyze",0.034482759,18,NA,NA
"algae","biology",0.034482759,18,0.014,NA
"algae","clean",0.068965517,18,NA,NA
"algae","cook",0.034482759,18,NA,NA
"algae","cure",0.034482759,18,NA,NA
"algae","decorate",0.034482759,18,NA,NA
"algae","eat",0.103448276,18,NA,NA
"algae","feed",0.068965517,18,NA,NA
"algae","fight",0.034482759,18,NA,NA
"algae","grow",0.103448276,18,NA,NA
"algae","kill",0.034482759,18,NA,NA
"algae","medicine",0.034482759,18,NA,NA
"algae","plant",0.068965517,18,0.027,0.611945626
"algae","remove",0.068965517,18,NA,NA
"algae","shelter",0.034482759,18,NA,NA
"algae","slip",0.034482759,18,NA,NA
"algae","study",0.137931034,18,NA,NA
"algae","throw away",0.034482759,18,NA,NA
"almanac","burn",0.052631579,15,NA,NA
"almanac","check",0.052631579,15,NA,NA
"almanac","collect",0.052631579,15,NA,NA
"almanac","door stop",0.052631579,15,NA,NA
"almanac","farm",0.052631579,15,NA,NA
"almanac","find",0.052631579,15,NA,NA
"almanac","fire",0.052631579,15,NA,NA
"almanac","forecast",0.052631579,15,NA,NA
"almanac","grow",0.052631579,15,NA,NA
"almanac","hunt",0.052631579,15,NA,NA
"almanac","predict",0.052631579,15,NA,NA
"almanac","read",0.210526316,15,NA,0.320281577
"almanac","recite",0.052631579,15,NA,NA
"almanac","stack",0.052631579,15,NA,NA
"almanac","study",0.105263158,15,NA,NA
"almond","bake",0.117647059,23,NA,NA
"almond","break",0.029411765,23,NA,NA
"almond","chew",0.058823529,23,NA,NA
"almond","cook",0.029411765,23,NA,NA
"almond","count",0.029411765,23,NA,NA
"almond","crush",0.029411765,23,NA,NA
"almond","draw",0.029411765,23,NA,NA
"almond","drink",0.029411765,23,NA,NA
"almond","eat",0.176470588,23,NA,NA
"almond","farm",0.029411765,23,NA,NA
"almond","food",0.029411765,23,NA,NA
"almond","garish",0.029411765,23,NA,NA
"almond","harvest",0.029411765,23,NA,NA
"almond","milk",0.029411765,23,NA,NA
