"Cue","AFSS","BOI","Concrete","SUBTLEX","AoA","Length","n.unique","n.unique.affordance","total.affordance"
"biscuit",36,5.964285714,4.9,2.2833,4.63,7,31,27,82
"bistro",34,4.518518519,4.44,1.6721,11.79,6,26,23,62
"blackberry",36,5.416666667,4.97,1.5911,8.95,10,34,25,80
"blackboard",30,5.392857143,4.72,1.7853,5.42,10,29,29,69
"blackhead",36,4.739130435,4.71,0.699,10.83,9,46,38,81
"blade",38,5.833333333,4.93,2.8222,6.72,5,38,36,120
"blanket",35,6.56,5,2.8215,3.61,7,25,22,68
"blazer",28,5.652173913,4.79,1.7993,9.6,6,33,32,74
"bleach",32,5.32,4.74,2.0755,8,6,28,26,84
"bleacher",43,5.083333333,4.14,0.6021,NA,8,36,34,111
"blender",26,5.739130435,5,1.9345,6.84,7,25,22,57
"blindfold",35,5.125,4.57,1.9494,8.11,9,33,31,66
"blister",30,5.2,4.71,1.6902,6.74,7,30,21,46
"block",46,5.413793103,4.48,3.3156,4.79,5,32,26,82
"bloke",33,4.541666667,3.89,2.3784,13.88,5,25,20,45
"blood",40,5.32,4.86,3.9774,4.89,5,31,27,64
"bloodhound",46,4.833333333,4.76,1.7076,11.32,10,36,30,87
"bloomers",42,4.4,4.26,1.3979,9.24,8,28,21,70
"blouse",41,6.47826087,4.96,2.4362,6.65,6,32,31,82
"blower",24,4.48,4.07,1.2553,8.32,6,28,26,43
"blowgun",36,4.625,4.83,0.6021,10.89,7,25,22,48
"blowtorch",28,5.541666667,4.93,1.6435,9.94,9,27,24,54
"blueberry",38,6,4.96,2.1206,6.22,9,29,27,92
"bluefish",32,4.48,4.79,0.9542,8.76,8,27,26,78
"blueprint",31,4.833333333,4.77,1.8062,9.39,9,25,23,43
"boa",38,4.333333333,4.92,1.8261,9.56,3,31,21,55
"board",45,4.48,4.57,3.5149,6.37,5,25,22,69
"boardinghouse",27,4.565217391,4.5,0.8451,10.95,13,26,21,51
"boat",48,5.130434783,4.93,3.689,3.84,4,25,20,73
"boathouse",47,4.52173913,4.78,1.6021,10.21,9,33,29,80
"boatman",32,4.76,4.73,1.4914,8.72,7,27,25,52
"bobsleigh",29,5.64,4.77,1.1139,8.69,9,29,27,59
"bodice",23,4.80952381,4.78,1.0792,14.5,6,25,21,41
"body",67,6.038461538,4.79,3.9988,4.28,4,28,24,117
"bodybuilder",33,4.958333333,4.43,1.1761,10.75,11,30,23,54
"bodyguard",32,4.72,4.75,2.4669,10,9,26,24,55
"bolt",39,4.925925926,4.67,2.5465,7.28,4,33,31,72
"bomb",36,4.384615385,4.84,3.4373,8,4,26,25,70
"bonbon",29,4.807692308,4.61,1.415,9.28,6,29,27,73
"bondsman",35,4.416666667,3.79,1.4314,13.83,8,29,22,44
"bone",42,5.259259259,4.9,3.1239,5.53,4,34,27,65
"bong",24,5.6,4.27,2.1553,14.16,4,27,26,49
"bonnet",30,6.043478261,4.93,1.9823,6.83,6,26,24,56
"book",53,6.47826087,4.9,3.9555,3.68,4,31,29,103
"bookbinder",27,4.75,4.93,0.6021,NA,10,26,21,29
"bookcase",20,5.56,4.93,1.6902,5.63,8,29,23,45
"bookend",30,5.291666667,4.32,0.4771,8.88,7,26,22,50
"bookkeeper",51,4.458333333,4.64,1.8195,9.15,10,28,26,69
"booklet",37,5.5,4.72,1.4624,7.32,7,27,25,74
"bookmark",37,5.857142857,4.9,1.3424,8.26,8,25,24,55
"bookmarker",33,4.576923077,4.62,0.301,6.75,10,29,26,56
"bookseller",22,5,4.43,0.7782,7.37,10,27,25,53
"bookshelf",35,5.727272727,4.93,1.2553,7.68,9,26,24,71
"boomerang",28,5.666666667,4.7,1.6812,9.79,9,25,24,65
"boot",47,6.555555556,4.96,2.7551,3.89,4,48,45,126
"booth",46,4.92,4.42,3.017,7.16,5,34,31,88
"bootlace",37,5.64,4.54,0.301,10.18,8,36,34,83
"booze",31,5.84,4.48,2.7474,10.42,5,27,25,62
"bosom",41,5.52,4.63,2.2041,12.5,5,28,22,52
"bottle",48,5.464285714,4.91,3.4131,3.56,6,28,23,82
"boulder",40,4.958333333,4.67,2.0294,7.92,7,35,32,79
"bouquet",46,4.909090909,4.74,2.2175,8.72,7,36,29,91
"bourbon",22,5.173913043,4.93,2.5051,11.05,7,27,24,54
"boutique",22,4.692307692,4.27,1.7482,9.78,8,26,22,52
"bowl",30,6.16,4.87,3.0394,4.26,4,27,21,65
"bowling",34,5,4.56,2.7372,7,7,28,20,56
"box",44,6.291666667,4.9,3.6607,4.3,3,28,25,86
"boxer",38,4.608695652,4.63,2.2945,7.95,5,27,23,59
"boy",47,4.962962963,4.76,4.4317,3.67,3,32,24,75
"boyfriend",59,6.310344828,4.59,3.5664,6.89,9,37,34,119
"bra",68,6.52173913,4.54,2.7466,8.21,3,51,46,151
"brace",23,5.04,3.96,2.5051,7.89,5,24,24,46
"bracelet",38,6.5,4.96,2.601,5.68,8,28,23,70
"braid",40,5.64,4.38,1.6902,7.22,5,35,31,67
"branch",43,4.821428571,4.9,2.7118,5.11,6,26,23,69
"brandy",27,5.64,4.81,2.7543,12.1,6,26,23,66
"brass",33,4.4,4.7,2.7917,9.05,5,34,24,44
"bratwurst",29,5.434782609,4.82,1.3979,9.68,9,28,24,83
"bread",33,6.230769231,4.92,3.1602,3.58,5,27,24,76
"breadbasket",38,5.222222222,4,1.0414,8.61,11,31,27,68
"breakfast",30,6.173913043,4.43,3.5292,3.47,9,24,23,71
"breastbone",34,5.318181818,4.33,1,10.75,10,34,24,50
"breastplate",24,5.136363636,4.67,1.1139,12.39,11,27,22,39
"breasts",74,6.173913043,5,2.8028,8.03,7,59,47,138
"breeches",44,4.666666667,4.07,1.301,12.1,8,25,21,80
"brick",37,5.64,4.83,2.716,6.43,5,30,26,78
"bricklayer",28,4.84,4.42,1.0414,9.5,10,25,23,59
"brickwork",41,4.777777778,4.48,0.4771,11.18,9,35,30,80
"bridegroom",40,4.384615385,4.39,1.8692,11.33,10,33,27,66
"bridesmaid",29,5.08,4.41,2.1004,8.47,10,26,21,47
"bridge",25,5.52173913,4.97,3.3677,5.58,6,27,24,65
"briefcase",34,6.25,4.86,2.6425,6.37,9,26,23,78
"briefs",24,5.64,4.33,1.6335,NA,6,29,20,45
"brisket",28,5.291666667,4.61,1.6812,12.11,7,25,23,63
"broach",39,5.041666667,3.74,1.3802,10.72,6,33,26,66
"broccoli",44,5.04,4.87,2.0682,5.2,8,38,34,119
"brochure",46,6.2,4.76,1.9912,9.58,8,30,27,74
"broiler",13,5.25,4.83,1.0414,9.63,7,28,25,43
"broker",47,4.464285714,4.03,2.2695,10.94,6,27,20,56
"brooch",34,5.130434783,4.19,1.8325,10.71,6,25,21,55
"broom",27,6.416666667,4.89,2.3874,5.5,5,39,37,85
"broomstick",26,6.043478261,4.8,1.6435,6.11,10,27,23,55
"broth",32,5.321428571,4.68,1.6628,9,5,36,32,82
"brother",47,5.043478261,4.43,4.1608,3.63,7,34,29,102
"brow",31,4.416666667,4.39,1.9777,9.82,4,25,23,69
"brush",41,6.043478261,4.54,2.8591,3.78,5,50,44,113
"bubble",20,4.64,4.6,2.6117,3.79,6,27,26,59
"buck",23,4.291666667,4.67,3.236,7.68,4,25,22,49
"bucket",45,6,4.96,2.7093,5.61,6,30,29,91
"buckle",45,4.846153846,4.71,2.4116,6.42,6,37,33,80
"buckwheat",27,4.44,4.54,1.3979,8.69,9,28,23,67
"buddy",39,4.916666667,3.48,3.72,5.37,5,31,27,77
"buffalo",45,4.692307692,4.83,2.7839,6.7,7,37,31,96
"buffet",25,5.409090909,4.67,2.356,7.58,6,25,24,50
"bug",38,5.296296296,5,3.029,3.79,3,36,31,85
"bugle",29,4.541666667,4.84,1.9494,8.88,5,28,23,57
"builder",31,4.826086957,3.97,1.6902,5.95,7,27,24,52
"building",32,5.208333333,4.64,3.7058,6.16,8,27,25,63
"bulb",42,5.391304348,4.93,2.3032,6.56,4,39,36,92
"bulldozer",43,4.565217391,4.9,1.8261,5.61,9,28,27,62
"bullet",35,5.772727273,4.83,3.2903,6.7,6,32,30,72
"bullfighter",22,4.6,4.7,1.5441,8.78,11,25,20,36
"bullfrog",41,4.884615385,4.9,1.4314,6.33,8,27,23,73
"bully",40,4.857142857,3.92,2.567,6.05,5,37,27,69
"bum",35,4.346153846,4.21,2.8965,8.11,3,31,25,58
"bun",25,5.916666667,4.88,2.1703,5.79,3,31,23,63
"bunion",32,4.36,4.64,1.5563,10.37,6,26,20,43
"bunk",28,4.260869565,4.3,2.5065,5.62,4,25,22,62
"bunkhouse",36,4.625,4.37,1.6232,10.2,9,34,29,67
"bunkmate",37,4.458333333,4,1.0792,10.74,8,35,30,65
"bunny",33,4.5,4.97,2.9763,4.5,5,26,23,60
"buoy",34,5.125,4.57,1.7853,9.76,4,34,31,68
"burger",30,6.111111111,4.93,2.7185,5.17,6,27,26,75
"burglar",20,4.260869565,4.44,2.4518,7,7,26,24,38
"burlap",26,5.333333333,4.78,1.0792,10.28,6,29,20,51
"bus",37,5.192307692,4.9,3.578,3.85,3,26,23,78
"bush",29,4.8,4.9,2.8579,4.9,4,27,23,57
"businessman",38,5.25,4.47,2.6075,9.38,11,26,24,58
"businesswoman",41,5.08,4.35,1.415,11.11,13,34,25,58
"busman",42,4.68,3.91,0.6021,11.93,6,27,24,56
"butcher",24,4.739130435,4.65,2.6385,7.9,7,26,24,49
"butt",50,5.652173913,4.75,3.294,3.73,4,35,29,80
"butter",46,6.217391304,4.9,3.0183,5.78,6,38,34,122
"buttercup",33,5.48,4.71,2.0864,6.9,9,26,23,52
"buttermilk",26,4.826086957,4.68,1.7993,7.6,10,36,29,70
"butterscotch",21,4.769230769,4.58,1.415,6.78,12,27,21,50
"buttocks",56,6.434782609,4.83,1.9731,7.72,8,55,48,121
"button",37,6.153846154,4.96,3.159,4.78,6,28,24,61
"buttonhole",18,5.074074074,4.7,1.0792,6.84,10,27,20,26
"buttonhook",33,4.45,4.04,0.6021,10.67,10,25,22,43
"bystander",35,4.791666667,4.17,1.6628,11.06,9,31,25,58
"cab",33,5.6,4.88,3.2617,6.94,3,31,31,80
"cabbage",42,5.608695652,4.75,2.1732,5.78,7,31,29,93
"cabdriver",36,5.12,4.79,1.1761,8.57,9,29,26,56
"cabin",36,4.56,4.92,3.0013,6.39,5,36,35,81
"cabinet",23,5.64,4.89,2.6294,6.06,7,35,27,63
"cable",39,4.913043478,4.74,3.0449,9.2,5,32,29,69
"cactus",51,4.5,5,2.1732,6.72,6,53,44,116
"caddy",34,4.913043478,4.32,2.1644,NA,5,25,24,55
"cadet",28,4.291666667,4.21,2.248,9.68,5,30,21,38
"cadillac",33,5.12,4.93,2.4669,NA,8,28,23,77
"cafe",26,4.772727273,4.96,2.4133,8.75,4,26,22,67
"cafeteria",24,4.8,4.71,2.4624,7.15,9,28,25,70
"cage",33,5.291666667,5,3.0149,5.06,4,30,24,55
"cake",38,6.086956522,4.81,3.3615,3.26,4,29,27,97
"calculator",40,6.24,4.86,1.8261,8.22,10,32,27,82
"calender",26,5.84,4.82,0.6021,NA,8,27,25,57
"calf",51,5.08,4.48,2.1818,6.63,4,55,46,114
"calipers",21,4.666666667,4.78,0.301,NA,8,26,22,37
"camel",39,4.52173913,4.93,2.4099,5.11,5,26,22,72
"camera",31,6.086956522,5,3.4636,6,6,29,26,56
"camisole",26,5.476190476,4.81,0.7782,13.72,8,25,22,53
"can",34,4.88,4.55,5.4275,4.32,3,27,24,80
"candidate",35,4.739130435,3.81,2.6385,10.39,9,26,23,53
"candle",30,5.166666667,4.86,2.6128,5.37,6,32,32,88
"candlestick",20,6,4.93,1.415,5.61,11,26,22,49
"candy",45,6.4,4.83,3.2615,4,5,25,24,98
"cane",47,6.068965517,4.87,2.6294,5.74,4,32,29,83
"canine",31,5.375,4.71,1.9395,8.45,6,30,20,72
"cannabis",31,5.666666667,4.69,1.3802,13.33,8,26,23,74
"cannonball",38,4.304347826,4.8,1.8692,6.39,10,25,24,58
"canoe",40,5.818181818,4.86,2.2625,6.63,5,26,24,70
"cantaloupe",39,5.666666667,4.76,1.5911,7.22,10,25,22,61
"canteen",40,5.607142857,4.88,1.9445,9.04,7,37,33,87
"canvas",60,5.590909091,4.78,2.3365,8.15,6,65,62,175
"cap",41,5.826086957,4.59,2.9809,5.53,3,27,26,73
"cape",49,5.416666667,4.77,2.6243,6.9,4,54,46,107
"capsule",25,5.041666667,4.52,2.1173,10.44,7,27,23,48
"captain",27,4.913043478,4.19,4.0262,6.06,7,31,25,51
"car",52,6.035714286,4.89,4.3916,3.37,3,25,24,97
"caramel",21,5.28,4.73,1.8062,6.58,7,26,23,48
"card",41,5.56,4.9,3.6393,6.2,4,24,23,69
"cardboard",53,5.739130435,4.9,2.143,5.4,9,27,27,84
"cardigan",37,6.130434783,4.96,1.4771,10.11,8,30,24,79
"caretaker",41,5.071428571,4.24,2.1004,9.75,9,33,31,77
"carnival",41,5.125,4.68,2.5611,6.95,8,39,32,77
"carp",13,4.52173913,4.62,1.6021,11.42,4,25,23,43
"carpenter",27,5.464285714,4.41,2.4871,7.39,9,29,25,55
"carpet",60,6.041666667,4.96,2.7745,6.05,6,63,56,149
"carport",22,4.28,4.79,0.7782,11.19,7,26,22,61
"carriage",37,5.08,4.86,2.5821,5.84,8,33,31,87
"carrot",30,6.043478261,5,2.2923,2.74,6,25,22,71
"cart",30,5.4,4.89,2.6646,6.16,4,35,33,92
"carton",23,5,5,1.9868,7,6,25,22,55
"cartridge",24,5.12,4.78,1.699,10.95,9,27,22,36
"case",32,4.272727273,3.93,4.1585,6.74,4,33,29,60
"caseworker",38,4.32,4.37,1.1761,10.22,10,33,28,58
"cash",27,6.36,4.48,3.5676,4.84,4,25,23,65
