"Cue","Target","AFS","FSG","COS"
"adapter","hook up",0.0204081632653061,NA,NA
"adapter","learn",0.0204081632653061,NA,NA
"adapter","play",0.0204081632653061,NA,NA
"adapter","plug",0.244897959183673,NA,NA
"adapter","power",0.0408163265306122,NA,NA
"adapter","reach",0.0204081632653061,NA,NA
"adapter","safety",0.0204081632653061,NA,NA
"adapter","scrap",0.0204081632653061,NA,NA
"adapter","sell",0.0612244897959184,NA,NA
"adapter","share",0.0204081632653061,NA,NA
"adapter","swap",0.0204081632653061,NA,NA
"adapter","throw",0.0204081632653061,NA,NA
"adapter","travel",0.0204081632653061,NA,NA
"addict","addict",0.027027027027027,NA,1
"addict","attach",0.027027027027027,NA,NA
"addict","become",0.027027027027027,NA,NA
"addict","construction",0.027027027027027,NA,NA
"addict","cuddle",0.027027027027027,NA,NA
"addict","example",0.027027027027027,NA,NA
"addict","experiment",0.027027027027027,NA,NA
"addict","feel",0.027027027027027,NA,NA
"addict","find",0.027027027027027,NA,NA
"addict","focus",0.027027027027027,NA,NA
"addict","friend",0.027027027027027,NA,NA
"addict","greet",0.027027027027027,NA,NA
"addict","guide",0.027027027027027,NA,NA
"addict","help",0.162162162162162,NA,0.243042462
"addict","intervene",0.027027027027027,NA,NA
"addict","look",0.027027027027027,NA,NA
"addict","need",0.027027027027027,0.02,NA
"addict","observe",0.027027027027027,NA,NA
"addict","pity",0.027027027027027,NA,NA
"addict","receive",0.027027027027027,NA,NA
"addict","recover",0.027027027027027,NA,NA
"addict","refer",0.027027027027027,NA,NA
"addict","respect",0.027027027027027,NA,NA
"addict","safe",0.027027027027027,NA,NA
"addict","snort",0.027027027027027,NA,NA
"addict","speak",0.027027027027027,NA,NA
"addict","steal",0.027027027027027,NA,NA
"addict","study",0.027027027027027,NA,NA
"addict","talk",0.027027027027027,NA,NA
"addict","teach",0.027027027027027,NA,NA
"addict","test",0.027027027027027,NA,NA
"addict","use",0.027027027027027,NA,NA
"adult","buy",0.0192307692307692,NA,NA
"adult","care",0.0384615384615385,NA,NA
"adult","carry",0.0192307692307692,NA,NA
"adult","chaperone",0.0192307692307692,NA,NA
"adult","comfort",0.0192307692307692,NA,NA
"adult","companion",0.0192307692307692,NA,NA
"adult","company",0.0192307692307692,NA,NA
"adult","converse",0.0192307692307692,NA,NA
"adult","describe",0.0576923076923077,NA,NA
"adult","drink",0.0192307692307692,NA,NA
"adult","drive",0.0192307692307692,NA,NA
"adult","educate",0.0192307692307692,NA,NA
"adult","employ",0.0192307692307692,NA,NA
"adult","fight",0.0192307692307692,NA,NA
"adult","fix",0.0192307692307692,NA,NA
"adult","friend",0.0769230769230769,NA,NA
"adult","grow",0.0192307692307692,NA,NA
"adult","guide",0.0576923076923077,NA,NA
"adult","help",0.0576923076923077,NA,NA
"adult","hug",0.0192307692307692,NA,NA
"adult","kiss",0.0192307692307692,NA,NA
"adult","learn",0.0576923076923077,NA,NA
"adult","love",0.0192307692307692,NA,NA
"adult","marry",0.0192307692307692,NA,NA
"adult","mend",0.0192307692307692,NA,NA
"adult","mentor",0.0192307692307692,NA,NA
"adult","order",0.0192307692307692,NA,NA
"adult","pay",0.0192307692307692,NA,NA
"adult","play",0.0192307692307692,NA,NA
"adult","raise",0.0192307692307692,NA,NA
"adult","support",0.0192307692307692,NA,NA
"adult","talk",0.0769230769230769,NA,NA
"adult","teach",0.0576923076923077,NA,NA
"adult","watch",0.0192307692307692,NA,NA
