Cue,Target,AFS,AFSS
amphibian,look,0.020408163,29
amphibian,love,0.020408163,29
amphibian,nurture,0.020408163,29
amphibian,observe,0.020408163,29
amphibian,pet,0.224489796,29
amphibian,play,0.040816327,29
amphibian,reproduce,0.020408163,29
amphibian,save,0.020408163,29
amphibian,slither,0.020408163,29
amphibian,stare,0.020408163,29
amphibian,step on,0.040816327,29
amphibian,study,0.081632653,29
amphibian,swim,0.020408163,29
amphibian,take,0.020408163,29
amphibian,walk,0.020408163,29
amulet,admire,0.055555556,12
amulet,bring,0.055555556,12
amulet,collect,0.055555556,12
amulet,decorate,0.055555556,12
amulet,drink,0.055555556,12
amulet,flaunt,0.055555556,12
amulet,give,0.055555556,12
amulet,pass,0.055555556,12
amulet,protect,0.055555556,12
amulet,sell,0.055555556,12
amulet,shine,0.055555556,12
amulet,wear,0.388888889,12
anchor,anchor,0.043478261,17
anchor,bring,0.043478261,17
anchor,build,0.043478261,17
anchor,catch,0.043478261,17
anchor,dock,0.043478261,17
anchor,drown,0.043478261,17
anchor,fish,0.043478261,17
anchor,leave,0.043478261,17
anchor,move,0.086956522,17
anchor,place,0.043478261,17
anchor,protect,0.043478261,17
anchor,sail,0.043478261,17
anchor,stabilize,0.043478261,17
anchor,stop,0.260869565,17
anchor,swim,0.043478261,17
anchor,throw,0.043478261,17
anchor,weigh,0.043478261,17
anchovy,benefit,0.038461538,15
anchovy,catch,0.076923077,15
anchovy,cook,0.076923077,15
anchovy,discard,0.038461538,15
anchovy,eat,0.307692308,15
anchovy,fish,0.076923077,15
anchovy,meal,0.038461538,15
anchovy,paint,0.038461538,15
anchovy,provide,0.038461538,15
anchovy,see,0.038461538,15
anchovy,smell,0.038461538,15
anchovy,spread,0.038461538,15
anchovy,throw,0.038461538,15
anchovy,throw away,0.076923077,15
anchovy,topping,0.038461538,15
animal,amuse,0.0125,51
animal,annoy,0.0125,51
animal,attack,0.0125,51
animal,ballast,0.0125,51
animal,bet,0.0125,51
animal,breed,0.0125,51
animal,cage,0.0125,51
animal,care,0.075,51
animal,catapult,0.0125,51
animal,change,0.0125,51
animal,comfort,0.0125,51
animal,companion,0.0125,51
animal,condone,0.025,51
animal,eat,0.0375,51
animal,encourage,0.0125,51
animal,feed,0.025,51
animal,food,0.0125,51
animal,free,0.0125,51
animal,fuel,0.0125,51
animal,guard,0.0125,51
animal,hold,0.0125,51
animal,hunt,0.05,51
animal,invertebrate,0.0125,51
animal,keep,0.0375,51
animal,kick,0.0125,51
animal,kill,0.0125,51
animal,labor,0.0125,51
animal,learn,0.0125,51
animal,love,0.025,51
animal,mount,0.0125,51
animal,pet,0.0875,51
animal,play,0.0375,51
animal,projectile,0.0125,51
animal,race,0.0125,51
animal,raise,0.0125,51
animal,reproduce,0.0125,51
animal,ride,0.0125,51
animal,run,0.0125,51
animal,see,0.0125,51
animal,skin,0.0125,51
animal,sleep,0.0125,51
animal,snuggle,0.0125,51
animal,support,0.0125,51
animal,sustain,0.0125,51
animal,take,0.0625,51
animal,think,0.025,51
animal,train,0.0125,51
animal,travel,0.0125,51
animal,walk,0.025,51
animal,watch,0.0125,51
animal,weapon,0.0125,51
ankle,balance,0.023255814,21
ankle,break,0.093023256,21
ankle,carry,0.023255814,21
ankle,drive,0.023255814,21
ankle,help,0.023255814,21
ankle,injure,0.023255814,21
ankle,jump,0.046511628,21
ankle,kick,0.023255814,21
ankle,move,0.046511628,21
ankle,roll,0.069767442,21
ankle,run,0.11627907,21
ankle,scrape,0.023255814,21
ankle,sprain,0.11627907,21
ankle,stand,0.023255814,21
ankle,strain,0.023255814,21
ankle,support,0.046511628,21
ankle,tap foot,0.023255814,21
ankle,tape,0.023255814,21
ankle,twist,0.023255814,21
ankle,walk,0.162790698,21
ankle,wrap,0.023255814,21
anklet,accessorize,0.015625,29
anklet,break,0.046875,29
anklet,buy,0.078125,29
anklet,clasp,0.015625,29
anklet,cut,0.015625,29
anklet,decorate,0.078125,29
anklet,design,0.03125,29
anklet,destroy,0.015625,29
anklet,enjoy,0.015625,29
anklet,gift,0.046875,29
anklet,join,0.015625,29
anklet,look,0.015625,29
anklet,make,0.03125,29
anklet,play,0.015625,29
anklet,polish,0.015625,29
anklet,purchase,0.015625,29
anklet,receive,0.015625,29
anklet,remind,0.015625,29
anklet,sell,0.078125,29
anklet,show,0.015625,29
anklet,snap,0.015625,29
anklet,swing,0.015625,29
anklet,tear,0.015625,29
anklet,thread,0.015625,29
anklet,throw,0.015625,29
anklet,tie,0.015625,29
anklet,unclip,0.015625,29
anklet,untie,0.015625,29
anklet,wear,0.28125,29
announcer,announce,0.105263158,14
announcer,broadcast,0.052631579,14
announcer,commentate,0.052631579,14
announcer,entertain,0.052631579,14
